orig_filename	new_filename	is_cake	category
bakers.fresh_post_11_10_2022_3_02_47 PM2968331975106714592.jpg	anniversary-chocolate-curl-hearts-001.jpg	yes	anniversary
bakers.fresh_post_2_18_2023_12_14_30 AM3040362461928287436.jpg	anniversary-red-rose-silhouette-couple-002.jpg	yes	anniversary
bakers.fresh_post_2_8_2023_9_40_48 PM3033762121116273689.jpg	anniversary-calendar-heart-toppers-003.jpg	yes	anniversary
bakers.fresh_post_2_9_2022_10_36_18 AM2769609299221913957.jpg	anniversary-teal-white-floral-brush-004.jpg	yes	anniversary
bakers.fresh_post_3_17_2023_11_57_50 AM3060285406567111426.jpg	anniversary-pink-white-floral-3tier-005.jpg	yes	anniversary
akku_sassy_classy_post_6_18_2024_11_50_49 AM3392953915829632135.jpg	birthday-white-sprinkles-vanilla-001.jpg	yes	birthday
akku_sassy_classy_post_6_18_2024_11_50_49 AM3392953915963715340.jpg	birthday-chocolate-ferrero-drip-002.jpg	yes	birthday
bakers.fresh_post_10_8_2020_11_49_10 PM2415593025319131819.jpg	birthday-chocolate-cone-overload-priya-003.jpg	yes	birthday
bakers.fresh_post_11_22_2021_11_03_02 PM2712727861399184847.jpg	birthday-pink-rose-drip-rosette-004.jpg	yes	birthday
bakers.fresh_post_11_7_2019_5_20_19 PM2171872666868135636.jpg	birthday-chocolate-kitkat-curls-005.jpg	yes	birthday
bakers.fresh_post_11_7_2020_11_17_28 AM2436957961680916307.jpg	birthday-red-ruffle-cone-tier-006.jpg	yes	birthday
bakers.fresh_post_12_4_2020_11_47_42 PM2456904506585062751.jpg	birthday-gold-chocolate-cherry-007.jpg	yes	birthday
bakers.fresh_post_12_6_2020_9_53_03 AM2457933963579887808.jpg	birthday-white-cone-chocolate-drip-008.jpg	yes	birthday
bakers.fresh_post_2_20_2023_11_50_53 AM3042162508500116414.jpg	birthday-blue-hot-air-balloon-5-009.jpg	yes	birthday
bakers.fresh_post_2_23_2023_2_20_41 PM3044412235784635247.jpg	birthday-fitness-themed-weights-010.jpg	yes	birthday
bakers.fresh_post_2_24_2023_12_09_12 PM3045070834936347557.jpg	birthday-strawberry-7th-birthday-011.jpg	yes	birthday
bakers.fresh_post_2_26_2024_6_02_55 PM3311241555604030878.jpg	birthday-yellow-white-drip-gold-012.jpg	yes	birthday
bakers.fresh_post_2_7_2023_2_50_33 PM3032830855631169130.jpg	birthday-ocean-underwater-theme-013.jpg	yes	birthday
bakers.fresh_post_3_17_2023_1_41_50 PM3060337749862093398.jpg	birthday-chocolate-heart-drip-2tier-014.jpg	yes	birthday
bakers.fresh_post_3_19_2023_11_26_51 AM3061719357876545908.jpg	birthday-gender-reveal-he-or-she-015.jpg	yes	birthday
bakers.fresh_post_4_17_2021_2_56_59 PM2553757334434572853.jpg	birthday-chocolate-gold-foil-drip-016.jpg	yes	birthday
bakers.fresh_post_4_1_2023_12_45_30 PM3071181031226213369.jpg	birthday-colorful-drip-balloon-topper-017.jpg	yes	birthday
bakers.fresh_post_4_28_2023_4_58_03 PM3090877090080966140.jpg	birthday-pink-white-pearl-balloons-018.jpg	yes	birthday
bakers.fresh_post_4_8_2021_5_22_52 PM2547307783976867781.jpg	birthday-mac-makeup-pink-birthday-019.jpg	yes	birthday
bakers.fresh_post_5_10_2020_8_40_35 AM2305694584363910917.jpg	birthday-mothers-day-pink-chocolate-020.jpg	yes	birthday
bakers.fresh_post_5_16_2022_11_50_04 AM2839224896322453426.jpg	birthday-pink-floral-three-tier-elegant-021.jpg	yes	birthday
bakers.fresh_post_5_19_2022_10_39_01 PM2841725848430569422.jpg	birthday-pink-white-peony-three-tier-022.jpg	yes	birthday
bakers.fresh_post_5_19_2022_2_19_44 PM2841474552452465252.jpg	birthday-pokemon-pikachu-yellow-spikes-023.jpg	yes	birthday
bakers.fresh_post_5_22_2021_10_43_56 AM2578997122007578507.jpg	birthday-yellow-crown-tall-elegant-024.jpg	yes	birthday
